공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
476,AE543,2219,4143010700,376121535B,MNG001,100064,,71.66,2,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197627.2608,531625.9575
477,AE543,2231,4143010700,376121536B,MNG001,100134,,128,2.97,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198035.0744,531578.2342
478,AE543,2211,4143010700,376121527A,MNG001,100093,,162.31,2.14,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198345.0959,532226.7686
479,AE543,2237,4143010700,376121526B,MNG001,100052,,161.38,2.77,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198103.9355,532041.7018
480,AE543,2242,4143010700,376121516D,MNG001,100045,,307.86,2.09,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198143.3551,532318.8519
481,AE543,48,4143010700,376121535D,MNG001,212,,165.2799988,1.5,0,0,0,DWY002,,1,,CGB002,DRT001,SMW006,197599.0106,531197.8336
499,AE543,25,4143010900,376121517A,MNG001,41,,65.58000183,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,198289.4353,532603.2085
500,AE543,23,4143010900,376121517C,MNG001,41,,36.70000076,1.10000002,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198431.3343,532517.0185
501,AE543,2215,4143010700,376121525B,MNG001,100060,,53.76,1.6,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197741.3875,532107.8136
502,AE543,60,4143010700,376121536C,MNG001,220,,70.73999786,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW004,197844.2443,531214.8024
503,AE543,2230,4143010700,376121536A,MNG001,100065,,96.54,2.03,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,197950.2539,531685.9359
504,AE543,2240,4143010700,376121526B,MNG001,100054,,122.52,2.93,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198040.8011,532190.047
505,AE543,16,4143010900,376121517A,MNG001,39,,158.6399994,2.70000005,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198439.9807,532706.732
506,AE543,19,4143010900,376121517B,MNG001,39,,98.55000305,1.29999995,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,198514.2247,532594.0199
507,AE543,2235,4143010700,376121527A,MNG001,100093,,76.83,2.01,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198359.6148,532176.6992
508,AE543,2213,4143010700,376121526D,MNG001,100073,,167.86,2.1,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198112.929,531925.6922
