행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
사남면,2000-12-31,중로(보)2-2,자전거보행자겸용도로,블록,80.99,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,2.37,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,83.87,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-2,자전거보행자겸용도로,블록,2.22,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-2,자전거보행자겸용도로,블록,12.43,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-2,자전거보행자겸용도로,블록,56.03,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-2,자전거보행자겸용도로,블록,67.25,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,7.32,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,30.92,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,1.54,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,59.87,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,1.93,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,14.98,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,블록,99.36,1.7,0,0,0,고압블록
사남면,2000-12-31,중로(보)2-3,자전거보행자겸용도로,고압블럭,89.03,1.7,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,고압블럭,29.89,1.65,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,2.42,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,고압블럭,45.16,1.7,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,고압블럭,26.01,1.7,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,2.32,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,8.29,1.6,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,8.29,1.6,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,30.6,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,1.42,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,47.1,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,13.08,1.7,0,0,0,고압블록
